congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,bioname,screen_name,bioguide_id,born,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,nokken_poole_dim1,nokken_poole_dim2,economic_simple_pc,social_simple_pc,economic_simple_tr,social_simple_tr,econ_and_social
116,Senate,41705,41,0,AL,100,"JONES, Gordon Douglas (Doug)",SenDougJones,J000300,1954,-0.089,0.199,-55.29461,0.88627,458,23,-0.078,0.262,right,libertarian,right,left,rightleft
116,Senate,94659,41,0,AL,200,"SHELBY, Richard C.",SenShelby,S000320,1934,0.428,0.515,-34.95693,0.92861,472,17,0.429,0.093,right,authoritarian,right,right,rightright
116,Senate,40300,81,0,AK,200,"MURKOWSKI, Lisa",lisamurkowski,M001153,1957,0.21,-0.291,-32.62963,0.92915,444,8,0.278,-0.432,right ,authoritarian,right ,left,right left
116,Senate,41500,81,0,AK,200,"SULLIVAN, Daniel Scott",SenDanSullivan,S001198,1964,0.48,0.072,-37.85845,0.92197,466,16,0.506,0.019,right,authoritarian,right,right,rightright
116,Senate,21300,61,0,AZ,100,"SINEMA, Kyrsten",RepSinema,S001191,1976,-0.102,0.058,-63.07191,0.86922,450,18,-0.058,0.188,left,libertarian,left,left,leftleft
116,Senate,21501,61,0,AZ,200,"McSALLY, Martha",RepMcSally,M001197,1966,0.345,0.025,-30.92947,0.93618,469,12,0.346,0.246,right,authoritarian,right,right,rightright
116,Senate,20101,42,0,AR,200,"BOOZMAN, John",JohnBoozman,B001236,1950,0.4,0.248,-19.83398,0.95902,474,7,0.343,0.255,right,authoritarian,right,right,rightright
116,Senate,21301,42,0,AR,200,"COTTON, Tom",SenTomCotton,C001095,1977,0.576,0.107,-47.00756,0.90502,471,21,0.433,0.076,right,libertarian,right,right,rightright
116,Senate,41701,71,0,CA,100,"HARRIS, Kamala Devi",SenKamalaHarris,H001075,1964,-0.702,-0.117,-18.7005,0.92474,239,9,-0.724,-0.238,left,authoritarian,left,left,leftleft
116,Senate,49300,71,0,CA,100,"FEINSTEIN, Dianne",SenFeinstein,F000062,1933,-0.268,-0.199,-57.71989,0.88535,474,16,-0.265,-0.096,left,authoritarian,left,left,leftleft
116,Senate,21112,62,0,CO,200,"GARDNER, Cory",SenCoryGardner,G000562,1974,0.445,-0.021,-33.97153,0.9294,464,15,0.344,0.022,right,authoritarian,right,right,rightright
116,Senate,40910,62,0,CO,100,"BENNET, Michael F.",SenBennetCO,B001267,1964,-0.22,-0.157,-81.68542,0.79649,359,39,-0.283,-0.166,left,libertarian,left,left,leftleft
116,Senate,20707,1,0,CT,100,"MURPHY, Christopher",ChrisMurphyCT,M001169,1973,-0.275,-0.195,-110.76147,0.79044,471,48,-0.163,-0.316,left,authoritarian,left,left,leftleft
116,Senate,41101,1,0,CT,100,"BLUMENTHAL, Richard",SenBlumenthal,B001277,1946,-0.43,-0.081,-67.00539,0.86739,471,31,-0.45,-0.014,left,authoritarian,left,left,leftleft
116,Senate,15015,11,0,DE,100,"CARPER, Thomas Richard",SenatorCarper,C000174,1947,-0.175,-0.229,-86.81493,0.83167,471,26,-0.186,-0.314,left,authoritarian,left,left,leftleft
116,Senate,40916,11,0,DE,100,"COONS, Christopher A.",ChrisCoons,C001088,1963,-0.225,-0.225,-52.91714,0.89133,460,17,-0.192,-0.269,left,libertarian,left,left,leftleft
116,Senate,41102,43,0,FL,200,"RUBIO, Marco",marcorubio,R000595,1971,0.572,-0.269,-39.59251,0.91684,456,16,0.54,-0.097,right,authoritarian,right,right,rightright
116,Senate,41903,43,0,FL,200,"SCOTT, Richard Lynn (Rick)",FLGovScott,S001217,1952,0.512,0.099,-37.65789,0.9214,460,22,0.513,0.098,right,libertarian,right,right,rightright
116,Senate,29909,44,0,GA,200,"ISAKSON, Johnny",SenatorIsakson,I000055,1944,0.402,-0.011,-10.54373,0.96184,271,2,0.336,0.153,right,libertarian,right,left,rightleft
116,Senate,41501,44,0,GA,200,"PERDUE, David Alfred, Jr.",Perduesenate,P000612,1949,0.57,-0.074,-31.00502,0.93136,436,17,0.48,0.256,right,authoritarian,right,right,rightright
116,Senate,41904,44,0,GA,200,"LOEFFLER, Kelly",SenatorLoeffler,L000594,1970,0.539,0.273,-5.25595,0.93935,84,3,0.54,0.269,right,authoritarian,right,right,rightright
116,Senate,20713,82,0,HI,100,"HIRONO, Mazie",maziehirono,H001042,1947,-0.509,-0.095,-61.12568,0.87481,457,30,-0.566,-0.062,left,authoritarian,left,left,leftleft
116,Senate,41112,82,0,HI,100,"SCHATZ, Brian Emanuel",brianschatz,S001194,1972,-0.445,-0.075,-71.73744,0.85732,466,28,-0.473,-0.057,left,authoritarian,left,left,leftleft
116,Senate,29345,63,0,ID,200,"CRAPO, Michael Dean",MikeCrapo,C000880,1951,0.51,0.291,-26.25544,0.94567,470,12,0.492,0.632,right,libertarian,right,right,rightright
116,Senate,40902,63,0,ID,200,"RISCH, James",SenatorRisch,R000584,1943,0.631,0.564,-20.33505,0.9573,466,12,0.591,0.603,right,libertarian,right,right,rightright
116,Senate,15021,21,0,IL,100,"DURBIN, Richard Joseph",SenatorDurbin,D000563,1944,-0.352,-0.329,-91.76167,0.82126,466,51,-0.296,-0.094,right,authoritarian,right,left,rightleft
116,Senate,21325,21,0,IL,100,"DUCKWORTH, Tammy",SenDuckworth,D000622,1968,-0.333,0.108,-72.1791,0.85301,454,30,-0.371,0.209,left,authoritarian,left,left,leftleft
